date,01-unknown,01-unknown-cumulative,02-export-tenths-watt,02-export-tenths-watt-cumulative,03-unknown,03-unknown-cumulative,04-unknown,04-unknown-cumulative,09-unknown,09-unknown-cumulative,10-also-export-tenths-watt,10-also-export-tenths-watt-cumulative,13-unknown,14-unknown,21-unknown,21-unknown-cumulative,22-unknown,22-unknown-cumulative,23-unknown,23-unknown-cumulative,24-unknown,24-unknown-cumulative,29-unknown,29-unknown-cumulative,30-unknown,30-unknown-cumulative,31-unknown,32-unknown,33-unknown,36864-unknown,41-unknown,41-unknown-cumulative,42-unknown,42-unknown-cumulative,43-unknown,43-unknown-cumulative,44-unknown,44-unknown-cumulative,49-unknown,49-unknown-cumulative,50-unknown,50-unknown-cumulative,51-unknown,52-unknown,53-unknown,61-unknown,61-unknown-cumulative,62-unknown,62-unknown-cumulative,63-unknown,63-unknown-cumulative,64-unknown,64-unknown-cumulative,69-unknown,69-unknown-cumulative,70-unknown,70-unknown-cumulative,71-unknown,72-unknown,73-unknown,uptime-millis
2023-06-04 09:32:00.791495,0,63068109480,69894,53591099400,6371,25736732280,0,13824281520,0,75456350280,70184,58371758280,996,49999,0,30291592680,23527,20800151640,2489,14019616800,0,1214175600,0,33096908160,23658,22110706080,10070,235034,994,0,0,24967402560,23763,23201993520,3346,8865362520,0,7048371240,0,30005929800,23998,23874428160,9851,244175,990,0,22961136240,22604,24740978400,536,5568411240,0,8278391880,0,28122132600,22610,25345809360,9480,239576,1000,2243940741
2023-06-04 09:33:00.771432,0,63068109480,69908,53591519160,7404,25736775840,0,13824281520,0,75456350280,70299,58372180200,994,50013,0,30291592680,22815,20800289520,2684,14019632280,0,1214175600,0,33096908160,22972,22110844680,9796,234626,993,0,0,24967402560,24021,23202137160,4016,8865386640,0,7048371240,0,30005929800,24355,23874574320,9989,244501,986,0,22961136240,23071,24741116640,704,5568414840,0,8278391880,0,28122132600,23082,25345947600,9655,240065,1000,2244000720
2023-06-04 09:34:00.761125,0,63068109480,67398,53591938560,5884,25736821200,0,13824281520,0,75456350280,67655,58372602480,996,50030,0,30291592680,23766,20800435320,2971,14019649200,0,1214175600,0,33096908160,23951,22110991560,10215,234553,992,0,0,24967402560,25039,23202287280,1720,8865409320,0,7048371240,0,30005929800,25098,23874726600,10253,244867,998,0,22961136240,18592,24741240120,1194,5568420600,0,8278391880,0,28122132600,18631,25346071080,7833,239652,998,2244060710
2023-06-04 09:35:00.749757,0,63068109480,68266,53592357960,9722,25736866560,0,13824281520,0,75456350280,68954,58373024400,990,50027,0,30291592680,23504,20800577520,2730,14019666120,0,1214175600,0,33096908160,23662,22111134480,10082,234820,993,0,0,24967402560,24287,23202443160,6140,8865432720,0,7048371240,0,30005929800,25051,23874884280,10317,244110,969,0,22961136240,20474,24741361440,852,5568426000,0,8278391880,0,28122132600,20492,25346192760,8604,239639,999,2244120700
2023-06-04 09:36:00.731079,0,63068109480,69817,53592777720,6108,25736914080,0,13824281520,0,75456350280,70084,58373446680,996,50012,0,30291592680,23946,20800720440,2345,14019683040,0,1214175600,0,33096908160,24061,22111278840,10224,235474,995,0,0,24967402560,25484,23202596520,3195,8865457560,0,7048371240,0,30005929800,25683,23875039440,10532,244297,992,0,22961136240,20387,24741484920,567,5568431400,0,8278391880,0,28122132600,20395,25346316240,8621,238005,1000,2244180680
2023-06-04 09:37:00.720046,0,63068109480,66357,53593198200,6987,25736959080,0,13824281520,0,75456350280,66724,58373869680,995,50023,0,30291592680,21862,20800863360,2559,14019699240,0,1214175600,0,33096908160,22011,22111422120,9297,236897,993,0,0,24967402560,20930,23202746280,3647,8865479880,0,7048371240,0,30005929800,21245,23875191000,8763,243045,985,0,22961136240,23565,24741613080,781,5568437880,0,8278391880,0,28122132600,23578,25346444760,9926,238481,999,2244240670
2023-06-04 09:38:00.709339,0,63068109480,69870,53593617240,6573,25737000480,0,13824281520,0,75456350280,70178,58374290880,996,50015,0,30291592680,22161,20800996200,2452,14019715080,0,1214175600,0,33096908160,22296,22111556040,9417,236900,994,0,0,24967402560,23298,23202886320,3467,8865501120,0,7048371240,0,30005929800,23554,23875332840,9706,243194,989,0,22961136240,24411,24741758880,653,5568442200,0,8278391880,0,28122132600,24420,25346590560,10288,238189,1000,2244300660
2023-06-04 09:39:00.691792,0,63068109480,69758,53594037000,6573,25737040080,0,13824281520,0,75456350280,70067,58374712440,996,50009,0,30291592680,23495,20801135520,2513,14019730200,0,1214175600,0,33096908160,23629,22111696080,9980,236919,994,0,0,24967402560,22512,23203022400,3335,8865521280,0,7048371240,0,30005929800,22757,23875470360,9379,243149,989,0,22961136240,23752,24741903600,725,5568446880,0,8278391880,0,28122132600,23763,25346735280,10010,238314,1000,2244360640
2023-06-04 09:40:00.681152,0,63068109480,70059,53594456760,6502,25737077160,0,13824281520,0,75456350280,70360,58375133640,996,50018,0,30291592680,22416,20801271600,2562,14019744600,0,1214175600,0,33096908160,22562,22111833240,9652,233869,994,0,0,24967402560,23060,23203159920,3479,8865541440,0,7048371240,0,30005929800,23321,23875609320,9567,244354,989,0,22961136240,24583,24742049400,460,5568449400,0,8278391880,0,28122132600,24587,25346881080,10265,240275,1000,2244420630
2023-06-04 09:41:00.671227,0,63068109480,69314,53594875800,5598,25737115320,0,13824281520,0,75456350280,69540,58375554480,997,50022,0,30291592680,24247,20801415960,2199,14019759360,0,1214175600,0,33096908160,24346,22111978320,10392,234403,996,0,0,24967402560,24405,23203306080,3018,8865561240,0,7048371240,0,30005929800,24591,23875756920,10098,244090,992,0,22961136240,20662,24742177560,381,5568452640,0,8278391880,0,28122132600,20665,25347009240,8689,239011,1000,2244480620
